issn,title,sjr_quartile,sjr_score
1931-4361,Journal of Wine Economics,Q2,0.455
1821-1283,Journal of Women's Entrepreneurship and Education,Q3,0.259
2406-0674,Journal of Women's Entrepreneurship and Education,Q3,0.259
2205-2062,Journal of Work-Applied Management,Q1,0.76
2205-149X,Journal of Work-Applied Management,Q1,0.76
1366-5626,Journal of Workplace Learning,Q2,0.53
1090-9516,Journal of World Business,Q1,4.297
1660-7112,Journal of World Investment and Trade,Q2,0.389
2211-9000,Journal of World Investment and Trade,Q2,0.389
0092-0703,Journal of the Academy of Marketing Science,Q1,6.896
1552-7824,Journal of the Academy of Marketing Science,Q1,6.896
1558-8017,Journal of the American Taxation Association,Q1,1.382
0198-9073,Journal of the American Taxation Association,Q1,1.382
2378-1823,Journal of the Association for Consumer Research,Q1,1.691
2378-1815,Journal of the Association for Consumer Research,Q1,1.691
1832-911X,Journal of the Australasian Tax Teachers Association,Q4,0.113
0350-7599,Journal of the Geographical Institute Jovan Cvijic SASA,Q3,0.286
1821-2808,Journal of the Geographical Institute Jovan Cvijic SASA,Q3,0.286
2643-7015,Journal of the International Council for Small Business,Q3,0.326
2643-7023,Journal of the International Council for Small Business,Q3,0.326
0037-2072,Journal of the Japan Research Association for Textile End-Uses,Q4,0.104
1738-6225,Journal of the Korean Society for Railway,Q3,0.219
2288-2235,Journal of the Korean Society for Railway,Q3,0.219
0160-5682,Journal of the Operational Research Society,Q1,0.917
1476-9360,Journal of the Operational Research Society,Q1,0.917
0368-4636,Journal of the Textile Association,Q4,0.133
2716-6058,Jurnal Ekonomi Malaysia,Q3,0.182
0127-1962,Jurnal Ekonomi Malaysia,Q3,0.182
2580-0698,Jurnal Kajian Bali,Q1,0.158
2088-4443,Jurnal Kajian Bali,Q1,0.158
0127-2713,Jurnal Pengurusan,Q4,0.168
0023-0561,Keramische Zeitschrift,Q3,0.106
0266-8394,Knitting International,Q4,0.1
1477-8238,Knowledge Management Research and Practice,Q1,0.822
1477-8246,Knowledge Management Research and Practice,Q1,0.822
2073-7904,Knowledge Management and E-Learning,Q2,0.66
2616-3829,Knowledge and Performance Management,Q2,0.254
2543-5507,Knowledge and Performance Management,Q2,0.254
1099-1441,Knowledge and Process Management,Q2,0.656
1092-4604,Knowledge and Process Management,Q2,0.656
0950-7051,Knowledge-Based Systems,Q1,1.934
2508-7193,Korean Accounting Review,Q4,0.201
1229-3288,Korean Accounting Review,Q4,0.201
2336-3037,LOGI - Scientific Journal on Transport and Logistics,Q2,0.502
0023-656X,Labor History,Q1,0.381
1469-9702,Labor History,Q1,0.381
0160-449X,Labor Studies Journal,Q2,0.375
1558-1454,Labor: Studies in Working-Class History,Q2,0.136
1547-6715,Labor: Studies in Working-Class History,Q2,0.136
1121-7081,Labour,Q1,0.326
1467-9914,Labour,Q1,0.326
0927-5371,Labour Economics,Q1,1.879
0023-6942,Labour History,Q1,0.296
0961-5652,Labour History Review,Q3,0.121
1745-8188,Labour History Review,Q3,0.121
2325-5676,Labour and Industry,Q3,0.257
1030-1763,Labour and Industry,Q3,0.257
0700-3862,Labour/Le Travail,Q2,0.133
1911-4842,Labour/Le Travail,Q2,0.133
1097-8526,Latin American Business Review,Q3,0.316
1528-6932,Latin American Business Review,Q3,0.316
1742-7150,Leadership,Q1,0.953
1742-7169,Leadership,Q1,0.953
1048-9843,Leadership Quarterly,Q1,5.393
0143-7739,Leadership and Organization Development Journal,Q1,1.117
1570-0763,Leadership and Policy in Schools,Q1,0.714
1744-5043,Leadership and Policy in Schools,Q1,0.714
1751-1879,Leadership in Health Services,Q2,0.588
1751-1887,Leadership in Health Services,Q2,0.588
0969-6474,Learning Organization,Q2,0.462
2323-0622,Lecturas de Economia,Q3,0.156
0120-2596,Lecturas de Economia,Q3,0.156
1865-1348,Lecture Notes in Business Information Processing,Q3,0.262
2195-4968,Lecture Notes in Information Systems and Organisation,Q3,0.214
2195-4976,Lecture Notes in Information Systems and Organisation,Q3,0.214
1521-0588,Leisure Sciences,Q2,0.608
0149-0400,Leisure Sciences,Q2,0.608
1466-4496,Leisure Studies,Q1,0.79
0261-4367,Leisure Studies,Q1,0.79
1492-7713,Leisure/ Loisir,Q2,0.357
2151-2221,Leisure/ Loisir,Q2,0.357
1945-8851,Library Leadership and Management,Q3,0.234
1945-886X,Library Leadership and Management,Q3,0.234
1734-459X,Logforum,Q3,0.309
1895-2038,Logforum,Q3,0.309
2305-6290,Logistics,Q2,0.789
1860-7977,Logistics Journal,Q4,0.126
1865-0368,Logistics Research,Q3,0.304
1865-035X,Logistics Research,Q3,0.304
2377-9640,Logistique et Management,Q4,0.132
1250-7970,Logistique et Management,Q4,0.132
0024-6301,Long Range Planning,Q1,2.909
1873-1872,Long Range Planning,Q1,2.909
0276-7783,MIS Quarterly: Management Information Systems,Q1,4.486
2162-9730,MIS Quarterly: Management Information Systems,Q1,4.486
1532-9194,MIT Sloan Management Review,Q2,0.798
1846-3363,Management,Q4,0.189
1331-0194,Management,Q4,0.189
1286-4692,Management (France),Q2,0.461
1044-5005,Management Accounting Research,Q1,1.224
1096-1224,Management Accounting Research,Q1,1.224
0893-3189,Management Communication Quarterly,Q1,1.185
0025-1747,Management Decision,Q1,1.028
0938-8249,Management International Review,Q1,1.184
1861-8901,Management International Review,Q1,1.184
1461-7307,Management Learning,Q1,1.672
1350-5076,Management Learning,Q1,1.672
1536-5433,Management Research,Q3,0.356
1558-0946,Management Research,Q3,0.356
2040-8269,Management Research Review,Q1,0.908
1021-9447,Management Review (Taiwan),Q4,0.102
2414-7354,Management Review (Taiwan),Q4,0.102
2198-1639,Management Review Quarterly,Q1,1.83
2198-1620,Management Review Quarterly,Q1,1.83
1861-9908,Management Revue,Q4,0.201
0935-9915,Management Revue,Q4,0.201
0025-1909,Management Science,Q1,5.72
1526-5501,Management Science,Q1,5.72
2299-0461,Management Systems in Production Engineering,Q3,0.298
2450-5781,Management Systems in Production Engineering,Q3,0.298
2379-2981,Management Teaching Review,Q2,0.382
2600-7975,Management and Accounting Review,Q4,0.162
2321-0710,Management and Labour Studies,Q3,0.352
0258-042X,Management and Labour Studies,Q3,0.352
2069-8887,Management and Marketing,Q3,0.311
1842-0206,Management and Marketing,Q3,0.311
1740-8776,Management and Organization Review,Q1,0.925
1740-8784,Management and Organization Review,Q1,0.925
1744-9359,Management and Organizational History,Q1,0.495
1744-9367,Management and Organizational History,Q1,0.495
2082-1344,Management and Production Engineering Review,Q3,0.264
2080-8208,Management and Production Engineering Review,Q3,0.264
2265-3937,Management and Prospective,Q4,0.142
2983-8304,Management and Prospective,Q4,0.142
2752-9819,Management and Sustainability,Q3,0.332
2752-9827,Management and Sustainability,Q3,0.332
1741-9883,Management in Education,Q2,0.475
0892-0206,Management in Education,Q2,0.475
0268-6902,Managerial Auditing Journal,Q1,0.605
0307-4358,Managerial Finance,Q2,0.546
1758-7743,Managerial Finance,Q2,0.546
1099-1468,Managerial and Decision Economics,Q2,0.617
0143-6570,Managerial and Decision Economics,Q2,0.617
2375-0480,Managing Sport and Leisure,Q2,0.596
2375-0472,Managing Sport and Leisure,Q2,0.596
1526-5498,Manufacturing and Service Operations Management,Q1,4.486
1523-4614,Manufacturing and Service Operations Management,Q1,4.486
2397-3757,Maritime Business Review,Q2,0.587
2397-3765,Maritime Business Review,Q2,0.587
0263-4503,Marketing Intelligence and Planning,Q2,1.245
1573-059X,Marketing Letters,Q1,2.036
0923-0645,Marketing Letters,Q1,2.036
0732-2399,Marketing Science,Q1,7.543
1526-548X,Marketing Science,Q1,7.543
1470-5931,Marketing Theory,Q1,1.774
1741-301X,Marketing Theory,Q1,1.774
0344-1369,"Marketing, Zeitschrift fur Forschung und Praxis",Q4,0.175
2473-4055,"Markets, Globalization and Development Review",Q3,0.148
0960-1627,Mathematical Finance,Q1,1.327
1467-9965,Mathematical Finance,Q1,1.327
1368-3047,Measuring Business Excellence,Q2,0.726
2049-3738,Meditari Accountancy Research,Q1,1.008
2049-372X,Meditari Accountancy Research,Q1,1.008
0947-9163,Melliand International,Q4,0.1
1665-7039,Mercados y Negocios,Q4,0.15
2594-0163,Mercados y Negocios,Q4,0.15
1121-4228,Micro and Macro Marketing,Q4,0.118
2612-2073,Micro and Macro Marketing,Q4,0.118
1073-9467,Middle East Quarterly,Q4,0.104
1937-4658,Monthly Labor Review,Q3,0.323
0098-1818,Monthly Labor Review,Q3,0.323
1525-383X,Multinational Business Review,Q1,1.086
2054-1686,Multinational Business Review,Q1,1.086
1096-1879,Multinational Finance Journal,Q4,0.12
1515-5994,Mundo Agrario,Q3,0.108
1872-9185,Museum Management and Curatorship,Q1,0.555
0964-7775,Museum Management and Curatorship,Q1,0.555
2768-5241,NJAS: Impact in Agricultural and Life Sciences,Q2,0.326
1018-1601,NTU Management Review,Q4,0.13
2226-6771,NTUT Journal of Intellectual Property Law and Management,Q4,0.103
2040-8757,Nankai Business Review International,Q2,0.43
2040-8749,Nankai Business Review International,Q2,0.43
1871-4765,NanoEthics,Q1,0.332
1871-4757,NanoEthics,Q1,0.332
1944-7477,National Tax Journal,Q1,1.437
0028-0283,National Tax Journal,Q1,1.437
1571-9979,Negotiation Journal,Q2,0.336
0748-4526,Negotiation Journal,Q2,0.336
1750-4716,Negotiation and Conflict Management Research,Q3,0.244
1750-4708,Negotiation and Conflict Management Research,Q3,0.244
1097-6736,New Directions for Evaluation,Q2,0.48
1550-333X,New England Journal of Entrepreneurship,Q2,0.437
2574-8904,New England Journal of Entrepreneurship,Q2,0.437
1557-2978,New Labor Forum,Q3,0.215
1095-7960,New Labor Forum,Q3,0.215
2168-0264,New Space,Q2,0.515
2168-0256,New Space,Q2,0.515
0268-1072,"New Technology, Work and Employment",Q1,2.795
1468-005X,"New Technology, Work and Employment",Q1,2.795
1048-6682,Nonprofit Management and Leadership,Q1,1.208
1542-7854,Nonprofit Management and Leadership,Q1,1.208
0163-4429,Nonwovens Industry,Q4,0.101
2245-0157,Nordic Journal of Working Life Studies,Q3,0.358
0196-3228,Northwestern Journal of International Law and Business,Q3,0.14
1538-8670,Nursing Management,Q3,0.317
0744-6314,Nursing Management,Q3,0.317
0030-3887,OPSEARCH,Q2,0.409
0975-0320,OPSEARCH,Q2,0.409
0171-6468,OR Spectrum,Q1,0.894
1436-6304,OR Spectrum,Q1,0.894
2353-1827,Oeconomia Copernicana,Q1,1.271
2083-1277,Oeconomia Copernicana,Q1,1.271
0305-0483,Omega (United Kingdom),Q1,2.308
1109-2858,Operational Research,Q2,0.659
1866-1505,Operational Research,Q2,0.659
2632-3451,Operations Engineer,Q4,0.1
1936-9743,Operations Management Research,Q1,1.424
1936-9735,Operations Management Research,Q1,1.424
2214-7160,Operations Research Perspectives,Q1,0.761
2391-6060,Operations Research and Decisions,Q3,0.286
2081-8858,Operations Research and Decisions,Q3,0.286
1979-3561,Operations and Supply Chain Management,Q2,0.524
2579-9363,Operations and Supply Chain Management,Q2,0.524
1862-4472,Optimization Letters,Q2,0.66
1862-4480,Optimization Letters,Q2,0.66
1581-1832,Organizacija,Q2,0.427
1318-5454,Organizacija,Q2,0.427
1350-5084,Organization,Q1,2.861
1461-7323,Organization,Q1,2.861
0889-6402,Organization Development Journal,Q4,0.201
1541-6518,Organization Management Journal,Q2,0.448
2753-8567,Organization Management Journal,Q2,0.448
1526-5455,Organization Science,Q1,8.026
1047-7039,Organization Science,Q1,8.026
1741-3044,Organization Studies,Q1,5.032
0170-8406,Organization Studies,Q1,5.032
2631-7877,Organization Theory,Q1,6.872
1552-7417,Organization and Environment,Q1,1.696
1086-0266,Organization and Environment,Q1,1.696
1847-6228,"Organization, Technology and Management in Construction",Q3,0.345
0749-5978,Organizational Behavior and Human Decision Processes,Q1,2.383
1095-9920,Organizational Behavior and Human Decision Processes,Q1,2.383
2327-8013,Organizational Cultures,Q4,0.145
2327-932X,Organizational Cultures,Q4,0.145
0090-2616,Organizational Dynamics,Q1,0.836
2041-3866,Organizational Psychology Review,Q1,3.434
2041-3874,Organizational Psychology Review,Q1,3.434
1552-7425,Organizational Research Methods,Q1,10.181
1094-4281,Organizational Research Methods,Q1,10.181
2345-0037,Organizations and Markets in Emerging Economies,Q3,0.294
2029-4581,Organizations and Markets in Emerging Economies,Q3,0.294
2312-5942,Organizatsionnaya Psikhologiya,Q4,0.183
1695-7121,PASOS Revista de Turismo y Patrimonio Cultural,Q2,0.182
2529-959X,PASOS Revista de Turismo y Patrimonio Cultural,Q2,0.182
2037-3643,PSL Quarterly Review,Q2,0.263
2037-3635,PSL Quarterly Review,Q2,0.263
2398-4007,PSU Research Review,Q1,0.581
2399-1747,PSU Research Review,Q1,0.581
2041-5494,Pacific Accounting Review,Q2,0.48
0114-0582,Pacific Accounting Review,Q2,0.48
1943-7536,Pacific Asia Journal of the Association for Information Systems,Q2,0.512
1943-7544,Pacific Asia Journal of the Association for Information Systems,Q2,0.512
0048-2676,Packaging News,Q4,0.101
0884-3848,Paint and Coatings Industry,Q4,0.111
1997-8553,Pakistan Journal of Commerce and Social Sciences,Q3,0.328
2309-8619,Pakistan Journal of Commerce and Social Sciences,Q3,0.328
0048-2757,Pakistan Textile Journal,Q4,0.102
0218-4540,Paper Asia,Q4,0.108
1933-3684,Paper360,Q4,0.1
1937-8327,Performance Improvement Quarterly,Q3,0.301
0898-5952,Performance Improvement Quarterly,Q3,0.301
1416-3837,Periodica Polytechnica Social and Management Sciences,Q3,0.209
1587-3803,Periodica Polytechnica Social and Management Sciences,Q3,0.209
0031-5826,Personnel Psychology,Q1,5.414
1744-6570,Personnel Psychology,Q1,5.414
0048-3486,Personnel Review,Q1,1.366
0128-7702,Pertanika Journal of Social Sciences and Humanities,Q2,0.273
2231-8534,Pertanika Journal of Social Sciences and Humanities,Q2,0.273
0306-395X,Petroleum Economist,Q4,0.1
2052-9597,Philosophy of Management,Q2,0.292
1740-3812,Philosophy of Management,Q2,0.292
2081-2221,"Physical Culture and Sport, Studies and Research",Q1,0.357
1899-4849,"Physical Culture and Sport, Studies and Research",Q1,0.357
1751-8040,Place Branding and Public Diplomacy,Q2,0.617
1751-8059,Place Branding and Public Diplomacy,Q2,0.617
0032-082X,Plant Engineering,Q4,0.102
2081-7452,Polish Journal of Management Studies,Q3,0.31
1899-1998,Polish Journal of Sport and Tourism,Q3,0.226
2082-8799,Polish Journal of Sport and Tourism,Q3,0.226
0975-2854,Prabandhan: Indian Journal of Management,Q3,0.259
2543-7313,Prace i Studia Geograficzne,Q2,0.165
0208-4589,Prace i Studia Geograficzne,Q2,0.165
0079-4872,Prakseologia,Q4,0.103
1939-5442,Printed Circuit Design and Fab,Q4,0.1
0032-860X,Printing Impressions,Q4,0.1
1727-7051,Problems and Perspectives in Management,Q2,0.291
1810-5467,Problems and Perspectives in Management,Q2,0.291
2770-4807,"Proceedings - International Conference on Education and Technology, ICET",-,0.14
2695-5067,Proceedings from the International Congress on Project Management and Engineering,-,0.12
1751-4312,"Proceedings of Institution of Civil Engineers: Management, Procurement and Law",Q3,0.327
1751-4304,"Proceedings of Institution of Civil Engineers: Management, Procurement and Law",Q3,0.327
2701-6277,Proceedings of the Conference on Production Systems and Logistics,-,0.21
2049-1050,"Proceedings of the European Conference on Innovation and Entrepreneurship, ECIE",-,0.147
2048-903X,"Proceedings of the European Conference on Management, Leadership and Governance",-,0.134
2048-9021,"Proceedings of the European Conference on Management, Leadership and Governance",-,0.134
2049-0976,Proceedings of the European Conference on Research Methods in Business and Management Studies,-,0.12
2049-0968,Proceedings of the European Conference on Research Methods in Business and Management Studies,-,0.12
2365-4430,Proceedings of the Hamburg International Conference of Logistics,-,0.154
2365-5070,Proceedings of the Hamburg International Conference of Logistics,-,0.154
2332-6441,Proceedings of the IEEE International Conference on Requirements Engineering,-,0.491
1090-705X,Proceedings of the IEEE International Conference on Requirements Engineering,-,0.491
2379-2027,"Proceedings of the IEEE National Aerospace Electronics Conference, NAECON",-,0.172
0547-3578,"Proceedings of the IEEE National Aerospace Electronics Conference, NAECON",-,0.172
2346-612X,"Proceedings of the International Conference of DAAAM Baltic ""Industrial Engineering""",-,0.13
2346-6138,"Proceedings of the International Conference of DAAAM Baltic ""Industrial Engineering""",-,0.13
1683-0040,Proceedings of the International Conference on Electronic Business (ICEB),-,0.128
2516-3612,Proceedings of the International Conference on Tourism Research,-,0.165
2283-8996,Proceedings of the Summer School Francesco Turco,-,0.124
2620-2832,Proceedings on Engineering Sciences,Q3,0.217
2683-4111,Proceedings on Engineering Sciences,Q3,0.217
1980-5411,Production,Q3,0.241
0103-6513,Production,Q3,0.241
2353-7779,Production Engineering Archives,Q2,0.457
2353-5156,Production Engineering Archives,Q2,0.457
0953-7287,Production Planning and Control,Q1,2.198
1366-5871,Production Planning and Control,Q1,2.198
1059-1478,Production and Operations Management,Q1,3.364
1937-5956,Production and Operations Management,Q1,3.364
1938-9507,Project Management Journal,Q1,1.18
8756-9728,Project Management Journal,Q1,1.18
0810-9028,Prometheus: Critical Studies in Innovation,Q3,0.209
1470-1030,Prometheus: Critical Studies in Innovation,Q3,0.209
0263-7472,Property Management,Q3,0.379
2392-8077,Psihologia Resurselor Umane,Q4,0.188
1583-7327,Psihologia Resurselor Umane,Q4,0.188
1550-3461,Psychologist-Manager Journal,Q4,0.146
1088-7156,Psychologist-Manager Journal,Q4,0.146
0742-6046,Psychology and Marketing,Q1,3.497
1520-6793,Psychology and Marketing,Q1,3.497
0033-3352,Public Administration Review,Q1,2.964
1540-6210,Public Administration Review,Q1,2.964
1558-0989,Public Integrity,Q1,0.517
1099-9922,Public Integrity,Q1,0.517
1467-9302,Public Money and Management,Q1,0.642
0954-0962,Public Money and Management,Q1,0.642
1566-7170,Public Organization Review,Q1,0.457
1573-7098,Public Organization Review,Q1,0.457
1530-9576,Public Performance and Management Review,Q1,0.969
1557-9271,Public Performance and Management Review,Q1,0.969
0091-0260,Public Personnel Management,Q1,0.926
2046-1488,Public Relations Inquiry,Q1,0.561
2046-147X,Public Relations Inquiry,Q1,0.561
0363-8111,Public Relations Review,Q1,1.352
1522-9114,Public Services Quarterly,Q2,0.275
1522-8959,Public Services Quarterly,Q2,0.275
1087-724X,Public Works Management and Policy,Q2,0.285
2222-1867,Public and Municipal Finance,Q2,0.252
2222-1875,Public and Municipal Finance,Q2,0.252
2304-6775,Publications,Q1,1.165
1936-4792,Publishing Research Quarterly,Q2,0.563
1053-8801,Publishing Research Quarterly,Q2,0.563
2499-1333,PuntOorg International Journal,Q2,0.176
0975-024X,Purushartha,Q2,0.196
1352-2752,Qualitative Market Research,Q2,0.579
1176-6093,Qualitative Research in Accounting and Management,Q2,0.814
1755-4187,Qualitative Research in Financial Markets,Q2,0.571
1755-4179,Qualitative Research in Financial Markets,Q2,0.571
1746-5648,Qualitative Research in Organizations and Management,Q2,0.675
1746-5656,Qualitative Research in Organizations and Management,Q2,0.675
1582-2559,Quality - Access to Success,Q4,0.203
1338-984X,Quality Innovation Prosperity,Q3,0.303
1335-1745,Quality Innovation Prosperity,Q3,0.303
1068-6967,Quality Management Journal,Q2,0.499
0033-524X,Quality Progress,-,
1684-3703,Quality Technology and Quantitative Management,Q1,1.018
2573-0134,Quantitative Finance and Economics,Q2,0.498
1570-7156,Quantitative Marketing and Economics,Q1,2.33
1573-711X,Quantitative Marketing and Economics,Q1,2.33
2010-1406,Quarterly Journal of Finance,Q3,0.407
2010-1392,Quarterly Journal of Finance,Q3,0.407
2709-8206,Qubahan Academic Journal,Q2,0.514
1467-9310,R and D Management,Q1,1.778
0033-6807,R and D Management,Q1,1.778
2178-938X,RAE Revista de Administracao de Empresas,Q3,0.265
0034-7590,RAE Revista de Administracao de Empresas,Q3,0.265
2531-0488,RAUSP Management Journal,Q2,0.417
2965-1506,REGEPE Entrepreneurship and Small Business Journal,Q4,0.128
1540-6229,Real Estate Economics,Q1,1.116
1080-8620,Real Estate Economics,Q1,1.116
2300-5289,Real Estate Management and Valuation,Q3,0.257
2051-5707,Recherche et Applications en Marketing,Q3,0.547
2051-2821,Recherche et Applications en Marketing,Q4,0.132
0767-3701,Recherche et Applications en Marketing,Q4,0.132
2271-2836,Recherches en Sciences de Gestion,Q4,0.149
2442-5168,Record and Library Journal,Q4,0.143
0956-5698,Records Management Journal,Q2,0.274
1558-8661,Recreational Sports Journal,Q2,0.38
1558-867X,Recreational Sports Journal,Q2,0.38
0034-379X,Relations Industrielles,Q3,0.197
1703-8138,Relations Industrielles,Q3,0.197
1560-6074,Research Journal of Textile and Apparel,Q2,0.374
2515-8090,Research Journal of Textile and Apparel,Q2,0.374
0048-7333,Research Policy,Q1,3.443
1930-0166,Research Technology Management,Q2,0.534
0895-6308,Research Technology Management,Q2,0.534
1793-7078,Research and Practice in Technology Enhanced Learning,Q1,0.865
0275-5319,Research in International Business and Finance,Q1,1.415
0191-3085,Research in Organizational Behavior,Q1,2.416
2210-5395,Research in Transportation Business and Management,Q1,1.196
0733-558X,Research in the Sociology of Organizations,Q3,0.171
1390-6291,Retos (Ecuador),Q3,0.289
1390-8618,Retos (Ecuador),Q3,0.289
1167-4687,Retraite et Societe,Q4,0.11
1573-7136,Review of Accounting Studies,Q1,5.817
1380-6653,Review of Accounting Studies,Q1,5.817
1475-7702,Review of Accounting and Finance,Q2,0.513
1758-7700,Review of Accounting and Finance,Q2,0.513
2247-6172,Review of Applied Socio-Economic Research,Q4,0.142
1940-5987,Review of Behavioral Finance,Q2,0.467
1940-5979,Review of Behavioral Finance,Q2,0.467
2308-944X,Review of Business and Economics Studies,Q4,0.128
2311-0279,Review of Business and Economics Studies,Q4,0.128
2693-9312,Review of Corporate Finance,Q1,1.673
2693-9320,Review of Corporate Finance,Q1,1.673
2046-9136,Review of Corporate Finance Studies,Q1,4.122
2046-9128,Review of Corporate Finance Studies,Q1,4.122
1698-1359,Review of Economic Research on Copyright Issues,Q4,0.123
1698-1367,Review of Economic Research on Copyright Issues,Q4,0.123
1573-692X,Review of Finance,Q1,8.22
1572-3097,Review of Finance,Q1,8.22
1465-7368,Review of Financial Studies,Q1,16.546
0893-9454,Review of Financial Studies,Q1,16.546
0889-938X,Review of Industrial Organization,Q1,1.075
1573-7160,Review of Industrial Organization,Q1,1.075
2414-6722,Review of Integrative Business and Economics Research,Q2,0.285
2304-1013,Review of Integrative Business and Economics Research,Q2,0.285
2059-6014,Review of International Business and Strategy,Q2,0.745
1559-744X,Review of International Organizations,Q1,1.385
1559-7431,Review of International Organizations,Q1,1.385
2754-5865,Review of Management Literature,Q2,0.744
2754-5873,Review of Management Literature,Q2,0.744
1863-6683,Review of Managerial Science,Q1,2.316
1863-6691,Review of Managerial Science,Q1,2.316
1546-5616,Review of Marketing Science,Q4,0.188
0734-371X,Review of Public Personnel Administration,Q1,1.666
0924-865X,Review of Quantitative Finance and Accounting,Q2,0.541
1573-7179,Review of Quantitative Finance and Accounting,Q2,0.541
0719-7713,Revista Academia and Negocios,Q4,0.124
0719-6245,Revista Academia and Negocios,Q4,0.124
1983-0807,Revista Brasileira de Gestao de Negocios,Q3,0.307
1806-4892,Revista Brasileira de Gestao de Negocios,Q3,0.307
2177-5184,Revista Brasileira de Marketing,Q4,0.159
1679-3390,Revista Brasileira de Orientacao Profissional,Q4,0.155
1984-7270,Revista Brasileira de Orientacao Profissional,Q4,0.155
1982-6125,Revista Brasileira de Pesquisa em Turismo,Q4,0.153
1808-057X,Revista Contabilidade e Financas,Q4,0.202
1519-7077,Revista Contabilidade e Financas,Q4,0.202
0210-2412,Revista Espanola de Financiacion y Contabilidad,Q3,0.32
2332-0753,Revista Espanola de Financiacion y Contabilidad,Q3,0.32
2248-6046,Revista Finanzas y Politica Economica,Q4,0.186
2011-7663,Revista Finanzas y Politica Economica,Q4,0.186
1132-2799,Revista Galega de Economia,Q2,0.201
2255-5951,Revista Galega de Economia,Q2,0.201
1315-9984,Revista Venezolana de Gerencia,Q3,0.221
1982-7849,Revista de Administracao Contemporanea,Q3,0.281
1415-6555,Revista de Administracao Contemporanea,Q3,0.281
1518-6776,Revista de Administracao Mackenzie,Q3,0.267
1678-6971,Revista de Administracao Mackenzie,Q3,0.267
2174-0747,Revista de Artes Marciales Asiaticas,Q2,0.34
1988-4672,Revista de Contabilidad-Spanish Accounting Review,Q3,0.411
1138-4891,Revista de Contabilidad-Spanish Accounting Review,Q3,0.411
1982-6486,Revista de Contabilidade e Organizacoes,Q4,0.14
1809-2276,Revista de Gestao,Q2,0.54
2177-8736,Revista de Gestao,Q2,0.54
0719-1839,Revista de Gestion Publica,Q3,0.23
1886-516X,Revista de Metodos Cuantitativos para la Economia y la Empresa,Q4,0.156
1576-5962,Revista de Psicologia del Trabajo y de las Organizaciones,Q2,0.757
2174-0534,Revista de Psicologia del Trabajo y de las Organizaciones,Q2,0.757
2385-4812,Revista de Quimica e Industria Textil,Q4,0.101
2385-4804,Revista de Quimica e Industria Textil,Q4,0.101
2555-0284,Revue Europeenne d' Economie et Management des Services,Q4,0.154
2497-0107,Revue Europeenne d' Economie et Management des Services,Q4,0.154
0338-4551,Revue Francaise de Gestion,Q4,0.135
1010-8831,Revue Internationale de Droit Economique,Q4,0.107
1782-1525,Revue Internationale de Droit Economique,Q4,0.107
0154-3229,Revue d'Economie Industrielle,Q4,0.163
1773-0198,Revue d'Economie Industrielle,Q4,0.163
1766-2524,Revue de l'Entrepreneuriat,Q4,0.197
1630-7542,Revue de l'Entrepreneuriat,Q4,0.197
2077-429X,Risk Governance and Control: Financial Markets and Institutions,-,
2077-4303,Risk Governance and Control: Financial Markets and Institutions,-,
1743-4637,Risk Management,Q3,0.346
1460-3799,Risk Management,Q3,0.346
1540-6296,Risk Management and Insurance Review,Q3,0.436
1098-1616,Risk Management and Insurance Review,Q3,0.436
2227-9091,Risks,Q2,0.397
2281-5864,Rivista Italiana di Ragioneria e di Economia Aziendale,Q4,0.111
1593-9154,Rivista Italiana di Ragioneria e di Economia Aziendale,Q4,0.111
2239-7221,Rivista di Studi sulla Sostenibilita,Q3,0.138
2239-1959,Rivista di Studi sulla Sostenibilita,Q3,0.138
1037-1656,Rural Society,Q4,0.262
2474-2376,Rutgers Business Review,Q3,0.338
2474-6509,Rutgers Business Review,Q3,0.338
2071-078X,SA Journal of Human Resource Management,Q2,0.37
1683-7584,SA Journal of Human Resource Management,Q2,0.37
1937-156X,SCHOLE: A Journal of Leisure Studies and Recreation Education,Q2,0.292
2162-4097,SCHOLE: A Journal of Leisure Studies and Recreation Education,Q2,0.292
0973-3167,SCMS Journal of Indian Management,Q4,0.148
0163-7517,Sales and Marketing Management,Q4,0.101
1502-2269,Scandinavian Journal of Hospitality and Tourism,Q1,1.01
1502-2250,Scandinavian Journal of Hospitality and Tourism,Q1,1.01
0956-5221,Scandinavian Journal of Management,Q1,1.11
1873-3387,Scandinavian Journal of Management,Q1,1.11
2001-7413,Scandinavian Journal of Public Administration,Q2,0.29
2001-7405,Scandinavian Journal of Public Administration,Q2,0.29
2002-2867,Scandinavian Journal of Work and Organizational Psychology,Q3,0.45
2366-6153,Schmalenbach Journal of Business Research,Q2,0.524
0341-2687,Schmalenbach Journal of Business Research,Q2,0.524
1363-2434,School Leadership and Management,Q1,0.876
1364-2626,School Leadership and Management,Q1,0.876
1353-3452,Science and Engineering Ethics,Q1,0.961
1471-5546,Science and Engineering Ethics,Q1,0.961
2409-9066,Science and Innovation,Q3,0.184
2413-4996,Science and Innovation,Q3,0.184
2501-3165,Scientific Annals of Economics and Business,Q3,0.218
2501-1960,Scientific Annals of Economics and Business,Q3,0.218
2313-8114,Scientific Bulletin of Mukachevo State University. Series Economics,Q3,0.266
2518-1254,Scientific Bulletin of Mukachevo State University. Series Economics,Q3,0.266
1804-8048,"Scientific Papers of the University of Pardubice, Series D: Faculty of Economics and Administration",Q3,0.265
